ID	X	Y
0003	1600857.3	5449035.47
0035	1601840.76	5449006.72
0037	1601934.93	5450124.55
0061	1601189.41	5449238.73
0064	1600686.09	5449648.6
0070	1600908.87	5449410.11
0075	1600538.9	5449036.08
0149	1600907.84	5448432.46
0150	1600257.67	5448459.86
0151	1601371.68	5448876.28
0152	1600863.33	5447446.84
0153	1600207.31	5449235.26
0154	1600877.27	5446929.64
0157	1601205.34	5449626.02
0158	1601679.83	5449199.16
0159	1598956.51	5448507.65
0162	1600510.02	5449451.11
0163	1600280.09	5449019.27
0164	1601346.66	5449444.51
0166	1601333.31	5448577.44
0168	1600213.25	5449637.64
0169	1600648.07	5448439.42
